CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,CASEWGT,PSUSTRAT,VERSION
6995,11,21,1-11-2017-021-09,9,1,280,486,179,1378,155,96,111,158,4,3,2,1,0,0,13617.39825112580000000000,8,2
6995,11,21,1-11-2017-021-09,9,2,357,575,203,2281,168,95,123,999,8,5,9,9,9,0,13617.39825112580000000000,8,2
7034,11,22,1-11-2017-022-06,6,1,288,480,200,1779,161,96,97,999,4,2,9,9,9,0,6809.55000197747000000000,8,2
7034,11,22,1-11-2017-022-06,6,2,355,565,200,2521,172,92,116,999,8,6,9,9,9,0,6809.55000197747000000000,8,2
7034,11,22,1-11-2017-022-06,6,3,278,484,186,1630,158,97,110,999,6,4,2,9,0,0,6809.55000197747000000000,8,2
7034,11,22,1-11-2017-022-06,6,4,999,999,200,9999,170,92,116,999,6,4,9,9,9,0,6809.55000197747000000000,8,2
7042,11,23,1-11-2017-023-05,5,1,284,476,176,1392,148,85,108,999,4,2,9,9,0,0,397.08111731963200000000,8,2
7095,11,24,1-11-2017-024-01,1,1,279,482,193,2155,160,91,112,999,6,4,9,9,0,0,235.60164635252800000000,8,2
7096,11,25,1-11-2017-025-05,5,1,273,483,183,1490,156,101,110,999,4,3,9,9,0,0,213.64699126240900000000,8,2
7096,11,25,1-11-2017-025-05,5,2,262,439,178,1369,153,85,92,999,6,3,2,9,0,0,213.64699126240900000000,8,2
7154,11,26,1-11-2017-026-05,5,2,278,484,180,1437,154,97,109,999,4,3,2,1,0,0,562.47811420163700000000,8,2
7237,11,27,1-11-2017-027-03,3,1,271,446,175,1380,152,90,85,999,4,2,2,1,0,0,2010.92272580976000000000,8,2
7237,11,27,1-11-2017-027-03,3,2,266,479,178,1350,153,98,116,999,4,2,9,1,0,0,2010.92272580976000000000,8,2
7237,11,27,1-11-2017-027-03,3,3,264,460,180,1498,155,96,100,999,4,3,9,9,9,0,2010.92272580976000000000,8,2
