CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,INTEGRITY,CASEWGT,PSUSTRAT,VERSION
6788,13,31,1-13-2017-031-07,7,1,0,4245.00000000000000000000,7,2
6835,13,33,1-13-2017-033-02,2,1,0,65.39062500000000000000,7,2
6835,13,33,1-13-2017-033-02,2,2,0,65.39062500000000000000,7,2
6849,13,34,1-13-2017-034-09,9,1,0,4840.00000000000000000000,7,2
6849,13,34,1-13-2017-034-09,9,2,0,4840.00000000000000000000,7,2
6881,13,35,1-13-2017-035-05,5,1,6,208.56250000000000000000,7,2
6881,13,35,1-13-2017-035-05,5,1,7,208.56250000000000000000,7,2
6882,13,36,1-13-2017-036-03,3,1,0,1223.75000000000000000000,7,2
6882,13,36,1-13-2017-036-03,3,2,0,1223.75000000000000000000,7,2
6906,13,37,1-13-2017-037-03,3,1,0,1994.00000000000000000000,7,2
6906,13,37,1-13-2017-037-03,3,2,0,1994.00000000000000000000,7,2
6907,13,38,1-13-2017-038-03,3,1,9,1994.00000000000000000000,7,2
6957,13,39,1-13-2017-039-02,2,2,0,140.12500000000000000000,7,2
6957,13,39,1-13-2017-039-02,2,3,0,140.12500000000000000000,7,2
6957,13,39,1-13-2017-039-02,2,4,9,140.12500000000000000000,7,2
6957,13,39,1-13-2017-039-02,2,5,1,140.12500000000000000000,7,2
6957,13,39,1-13-2017-039-02,2,5,6,140.12500000000000000000,7,2
6957,13,39,1-13-2017-039-02,2,5,7,140.12500000000000000000,7,2
6958,13,40,1-13-2017-040-03,3,1,0,1802.75000000000000000000,7,2
6990,13,41,1-13-2017-041-02,2,1,6,114.87500000000000000000,7,2
6991,13,42,1-13-2017-042-03,3,3,1,1477.50000000000000000000,7,2
7023,13,43,1-13-2017-043-06,6,1,0,2974.50000000000000000000,7,2
7023,13,43,1-13-2017-043-06,6,2,0,2974.50000000000000000000,7,2
7024,13,44,1-13-2017-044-02,2,1,0,119.23437500000000000000,7,2
7074,13,45,1-13-2017-045-08,8,1,0,835.12500000000000000000,7,2
7074,13,45,1-13-2017-045-08,8,2,0,835.12500000000000000000,7,2
7075,13,46,1-13-2017-046-03,3,1,6,1011.50000000000000000000,7,2
