CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
6906,13,37,1-13-2017-037-03,3,2,1,1,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,8748,1994.16895971702000000000,7,2
6957,13,39,1-13-2017-039-02,2,3,1,0,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,2715,140.15566461981000000000,7,2
6958,13,40,1-13-2017-040-03,3,1,1,5,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,2985,1802.84182676890000000000,7,2
6990,13,41,1-13-2017-041-02,2,1,1,3,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,5058,114.87970684568800000000,7,2
6991,13,42,1-13-2017-042-03,3,3,1,0,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,99998,1477.71366284744000000000,7,2
7023,13,43,1-13-2017-043-06,6,1,1,1,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,99998,2974.90819095951000000000,7,2
7024,13,44,1-13-2017-044-02,2,1,1,1,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,2065,119.24380308826500000000,7,2
7074,13,45,1-13-2017-045-08,8,1,1,2,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,42193,835.14731700150400000000,7,2
7074,13,45,1-13-2017-045-08,8,2,1,0,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,99998,835.14731700150400000000,7,2
7075,13,46,1-13-2017-046-03,3,1,1,3,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,16981,1011.52739065054000000000,7,2
7075,13,46,1-13-2017-046-03,3,2,1,4,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,2285,1011.52739065054000000000,7,2
7076,13,47,1-13-2017-047-03,3,1,1,3,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,8736,1011.52739066714000000000,7,2
7076,13,47,1-13-2017-047-03,3,2,1,1,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,2565,1011.52739066714000000000,7,2
7123,13,48,1-13-2017-048-04,4,2,1,0,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,99998,2521.65929840692000000000,7,2
7125,13,50,1-13-2017-050-04,4,1,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,2929,2521.65929840692000000000,7,2
7180,13,51,1-13-2017-051-02,2,1,1,1,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,3038,223.87077588787700000000,7,2
7218,13,52,1-13-2017-052-06,6,1,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,29867,5045.28531568187000000000,7,2
7218,13,52,1-13-2017-052-06,6,2,1,2,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,12564,5045.28531568187000000000,7,2
7281,13,53,1-13-2017-053-03,3,1,1,3,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,99998,931.20215853294300000000,7,2
7267,13,54,1-13-2017-054-03,3,2,1,2,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,2686,931.20215852199400000000,7,2
