CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,INTRUNO,INTCOMP,INTRUSION,INTMAG,INTDIRECT,CASEWGT,PSUSTRAT,VERSION,SEATLOC
7005,12,23,1-12-2017-023-06,6,1,1,5,1,0,2,527.92250471460800000000,9,2,13
7005,12,23,1-12-2017-023-06,6,1,2,12,999,1,3,527.92250471460800000000,9,2,13
7056,12,25,1-12-2017-025-03,3,2,1,25,8,2,2,7140.91132777394000000000,9,2,21
7056,12,25,1-12-2017-025-03,3,2,2,25,10,2,2,7140.91132777394000000000,9,2,22
7139,12,27,1-12-2017-027-01,1,1,1,7,999,2,3,473.93014835835700000000,9,2,11
7139,12,27,1-12-2017-027-01,1,1,2,22,13,2,1,473.93014835835700000000,9,2,12
7139,12,27,1-12-2017-027-01,1,1,3,8,8,2,1,473.93014835835700000000,9,2,13
7139,12,27,1-12-2017-027-01,1,1,4,7,999,2,3,473.93014835835700000000,9,2,13
7139,12,27,1-12-2017-027-01,1,1,5,8,999,2,3,473.93014835835700000000,9,2,11
7139,12,27,1-12-2017-027-01,1,1,6,20,999,2,3,473.93014835835700000000,9,2,11
7139,12,27,1-12-2017-027-01,1,1,7,20,999,2,3,473.93014835835700000000,9,2,13
7139,12,27,1-12-2017-027-01,1,1,8,20,999,2,3,473.93014835835700000000,9,2,21
7139,12,27,1-12-2017-027-01,1,1,9,20,999,2,3,473.93014835835700000000,9,2,23
7139,12,27,1-12-2017-027-01,1,1,10,22,999,2,1,473.93014835835700000000,9,2,11
7139,12,27,1-12-2017-027-01,1,1,11,22,999,3,1,473.93014835835700000000,9,2,13
7139,12,27,1-12-2017-027-01,1,1,12,19,999,2,1,473.93014835835700000000,9,2,11
7139,12,27,1-12-2017-027-01,1,1,13,19,999,2,1,473.93014835835700000000,9,2,12
7139,12,27,1-12-2017-027-01,1,1,14,19,999,3,1,473.93014835835700000000,9,2,13
7139,12,27,1-12-2017-027-01,1,1,15,19,999,2,1,473.93014835835700000000,9,2,21
7139,12,27,1-12-2017-027-01,1,1,16,19,999,1,1,473.93014835835700000000,9,2,22
7139,12,27,1-12-2017-027-01,1,1,17,19,999,1,1,473.93014835835700000000,9,2,23
7139,12,27,1-12-2017-027-01,1,1,18,21,999,2,2,473.93014835835700000000,9,2,11
7139,12,27,1-12-2017-027-01,1,1,19,21,999,2,2,473.93014835835700000000,9,2,12
7139,12,27,1-12-2017-027-01,1,1,20,21,999,2,2,473.93014835835700000000,9,2,13
