CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,LFBELT,LF1STAGEDEP,LF2STAGEDEP,LFSWITCH,LFDISPOSAL,LFSIDEDEPTIME,LFCURTDEPTIME,LFPRETENDEPTIME,LFRETRACTDEPTIME,LFBUCKDEPTIME,LFTRACKPOS,LFOCCSIZE,LFOCCPOS,RFBELT,RF1STAGEDEP,RF2STAGEDEP,RFSWITCH,RFDISPOSAL,RFSIDEDEPTIME,RFCURTDEPTIME,RFPRETENDEPTIME,RFRETRACTDEPTIME,RFBUCKDEPTIME,RFTRACKPOS,RFOCCSIZE,RFOCCPOS,CASEWGT,PSUSTRAT,VERSION
8002,12,51,1-12-2017-051-10,10,2,1,1,1,9997,9997,7,8,9997,9997,9997,9997,9997,0,7,7,1,9997,9997,7,8,9997,9997,9997,9997,9997,7,3,7,1132.14903654290000000000,9,2
8066,12,53,1-12-2017-053-06,6,1,1,1,7,9994,9994,7,8,9995,9997,9994,9997,9997,0,7,7,7,9994,9994,7,8,9995,9997,9994,9997,9997,7,7,7,1216.52299057212000000000,9,2
8193,12,55,1-12-2017-055-05,5,2,1,1,1,9997,9997,7,8,9997,9997,9997,9997,9997,0,7,7,1,9997,9997,7,8,9997,9997,9997,9997,9997,7,2,7,385.57133132396900000000,9,2
8193,12,55,1-12-2017-055-05,5,2,1,2,1,9995,9995,7,8,9997,9997,9995,9997,9997,0,7,7,1,9995,9995,7,8,9997,9997,9995,9997,9997,7,2,7,385.57133132396900000000,9,2
8193,12,55,1-12-2017-055-05,5,2,1,3,0,9995,9995,7,8,9997,9997,9995,9997,9997,0,7,7,0,9995,9995,7,8,9997,9997,9995,9997,9997,7,0,7,385.57133132396900000000,9,2
8194,12,56,1-12-2017-056-04,4,1,1,1,1,9995,9995,7,8,9995,9995,9995,9995,9995,0,7,7,1,9995,9995,7,8,9995,9995,9995,9995,9995,7,7,7,6880.05579409105000000000,9,2
8469,12,63,1-12-2017-063-03,3,2,1,1,1,9995,9995,7,8,9995,9995,48,9997,9997,0,7,7,0,9995,9995,1,8,9995,9995,48,9997,9997,7,0,7,597.19614055370900000000,9,2
8470,12,64,1-12-2017-064-07,7,2,1,1,7,9997,9997,7,8,9997,9997,0,9997,9997,7,7,7,7,9997,9997,0,8,9997,9997,0,9997,9997,7,7,7,3078.45527080477000000000,9,2
8556,12,65,1-12-2017-065-03,3,1,1,1,1,9995,9995,7,0,9997,9995,9995,9997,9997,7,7,7,0,9995,9995,7,0,9997,9995,9995,9997,9997,7,7,7,1316.99171800419000000000,9,2
8679,12,69,1-12-2017-069-03,3,1,1,1,0,9995,9995,7,8,9995,9995,9995,9995,9997,0,7,7,0,9995,9995,7,8,9995,9995,9995,9995,9997,7,7,7,1450.54178421601000000000,9,2
8896,12,73,1-12-2017-073-03,3,1,1,1,1,39,189,7,1,0,0,28,9997,9997,1,7,7,0,0,0,1,0,0,0,0,9997,9997,7,7,7,1416.44009618599000000000,9,2
8896,12,73,1-12-2017-073-03,3,1,1,2,1,30,180,7,1,0,38,13,9997,9997,1,7,7,0,0,0,1,0,0,0,0,9997,9997,7,7,7,1416.44009618599000000000,9,2
8896,12,73,1-12-2017-073-03,3,3,1,1,1,84,234,7,8,9997,9997,84,84,9997,0,7,7,0,9997,9997,7,8,9997,9997,9997,9997,9997,7,5,7,1416.44009618599000000000,9,2
8939,12,74,1-12-2017-074-06,6,2,1,1,1,9997,9997,7,8,9997,9997,9997,9997,9997,0,7,7,0,9997,9997,7,8,9997,9997,9997,9997,9997,7,5,7,419.20923822946600000000,9,2
