CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
7888,10,39,1-10-2017-039-02,2,2,RR,155,sf 340,P185/65R15,R7FP XKU,7,0,1,46.34288220449190000000,4,2
7931,10,40,1-10-2017-040-06,6,1,LF,998,auto grip,P205/55R16,KWB3 2114,0,0,1,1655.85275190167000000000,4,2
7931,10,40,1-10-2017-040-06,6,1,LR,998,zxu,P205/55R16,53LH SU172013,6,0,1,1655.85275190167000000000,4,2
7931,10,40,1-10-2017-040-06,6,1,RF,998,auto grip,P205/55R16,KWB3 2114,2,0,1,1655.85275190167000000000,4,2
7931,10,40,1-10-2017-040-06,6,1,RR,70,eagle,P205/55R16,M6T2 BMOR2114,5,0,1,1655.85275190167000000000,4,2
7979,10,41,1-10-2017-041-09,9,1,LF,887,Unknown,UNKNOWN,9999999999999,99,9,9,2538.15212103402000000000,4,2
7979,10,41,1-10-2017-041-09,9,1,LR,887,Unknown,UNKNOWN,9999999999999,99,9,9,2538.15212103402000000000,4,2
7979,10,41,1-10-2017-041-09,9,1,RF,887,Unknown,UNKNOWN,9999999999999,99,9,9,2538.15212103402000000000,4,2
7979,10,41,1-10-2017-041-09,9,1,RR,887,Unknown,UNKNOWN,9999999999999,99,9,9,2538.15212103402000000000,4,2
8068,10,42,1-10-2017-042-04,4,1,LF,98,mc-440,P225/60R17,R741 FW8 0115,0,0,1,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,1,LR,103,latitude tour,P225/65R17,M33T 006X,4,0,1,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,1,RF,103,latitude your,P225/65R17,M33T 006X0714,2,0,1,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,1,RR,167,open country,P225/65R17,CXF5 FHM 1909,2,0,1,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,LF,28,eco plus,P275/55R20,A32A WBDE4115,5,0,1,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,LR,28,eco plus,P225/55R20,A32A WBDE4115,5,0,1,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,RF,28,ecs plus,P225/55R20,A32A WBDE4115,6,0,1,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,RR,28,eco plus,P225/55R20,A32A WBDE4115,5,0,1,340.54286884701600000000,4,2
8181,10,44,1-10-2017-044-09,9,2,LF,70,Eagle RSA,P235/55R17,9999999999999,5,0,1,280.29553550113300000000,4,2
8181,10,44,1-10-2017-044-09,9,2,LR,70,eagle rsa,P235/55R17,M678 LNER0216,4,0,1,280.29553550113300000000,4,2
8181,10,44,1-10-2017-044-09,9,2,RF,70,eagle rsa,P235/55R17,M678 LNER0216,5,0,1,280.29553550113300000000,4,2
8181,10,44,1-10-2017-044-09,9,2,RR,70,eagle rsa,P235/55R17,M678 LNER3015,4,0,1,280.29553550113300000000,4,2
8204,10,45,1-10-2017-045-03,3,1,LF,167,proxes 4 plus,P205/55R16,N38K 2HD 0314,6,0,1,152.96440682076200000000,4,2
8204,10,45,1-10-2017-045-03,3,1,LR,167,proxes 4 plus,P205/55R16,N38K 2HD 0314,6,0,1,152.96440682076200000000,4,2
8204,10,45,1-10-2017-045-03,3,1,RF,167,proxes 4 plus,P205/55R16,N38K 2HD 0314,5,0,1,152.96440682076200000000,4,2
8204,10,45,1-10-2017-045-03,3,1,RR,167,proxes 4 plus,P205/55R16,N38K 2HD 0314,6,0,1,152.96440682076200000000,4,2
8413,10,49,1-10-2017-049-03,3,1,LF,70,Eagle RS,P255/45R19,M63E JL1R2816,99,0,1,157.20339285080300000000,4,2
8413,10,49,1-10-2017-049-03,3,1,LR,70,Eagle RS,P255/45R19,M63E JLER0116,99,0,1,157.20339285080300000000,4,2
8413,10,49,1-10-2017-049-03,3,1,RF,70,eagle rsa,P255/45R19,9999999999999,99,0,1,157.20339285080300000000,4,2
8413,10,49,1-10-2017-049-03,3,1,RR,70,Eagle RS,P225/45R19,M63E JLER,99,1,1,157.20339285080300000000,4,2
8477,10,50,1-10-2017-050-09,9,1,LF,30,Lifeliner GLS,P225/60R16,RMX3 CWL 4709,5,0,1,203.90545677916600000000,4,2
