CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,SEATLOC,CASEWGT,PSUSTRAT,VERSION
8413,10,49,1-10-2017-049-03,3,1,3,11,157.20339285080300000000,4,2
8413,10,49,1-10-2017-049-03,3,1,5,11,157.20339285080300000000,4,2
8413,10,49,1-10-2017-049-03,3,1,2,13,157.20339285080300000000,4,2
8413,10,49,1-10-2017-049-03,3,1,4,13,157.20339285080300000000,4,2
8413,10,49,1-10-2017-049-03,3,1,6,13,157.20339285080300000000,4,2
8413,10,49,1-10-2017-049-03,3,1,5,21,157.20339285080300000000,4,2
8413,10,49,1-10-2017-049-03,3,1,6,23,157.20339285080300000000,4,2
8477,10,50,1-10-2017-050-09,9,1,1,11,203.90545677916600000000,4,2
8477,10,50,1-10-2017-050-09,9,1,2,13,203.90545677916600000000,4,2
8478,10,51,1-10-2017-051-04,4,1,1,11,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,1,2,11,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,1,3,11,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,1,4,13,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,1,5,13,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,1,6,13,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,1,3,21,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,1,6,23,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,1,11,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,3,11,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,5,11,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,7,11,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,2,13,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,4,13,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,6,13,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,8,13,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,3,21,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,4,23,116.73917317886100000000,4,2
8542,10,52,1-10-2017-052-06,6,1,1,11,186.43497383052800000000,4,2
8542,10,52,1-10-2017-052-06,6,1,3,11,186.43497383052800000000,4,2
8542,10,52,1-10-2017-052-06,6,1,5,11,186.43497383052800000000,4,2
8542,10,52,1-10-2017-052-06,6,1,2,13,186.43497383052800000000,4,2
8542,10,52,1-10-2017-052-06,6,1,4,13,186.43497383052800000000,4,2
8542,10,52,1-10-2017-052-06,6,1,6,13,186.43497383052800000000,4,2
8542,10,52,1-10-2017-052-06,6,1,3,21,186.43497383052800000000,4,2
